# manifest_id	toefl-2026-missing-audio-manifest
# manifest_version	2026-08-20.v1
# scope	400_new_files_only;260_existing_mp3_preserved
# generation_authorized	no
media_id	set_id	section	module	task	source_item_ids	planned_url	source_ref	script_sha256	source_script_characters	billable_characters	words	request_segments	speaker_labels	declared_voice_roles	cast_profiles	target_profile	sample_candidate	media_status	approval_status
media:toefl:set-1:listening-m2-choose-6	set-1	listening	listening-2	choose-response	item:t1-l-m2-cr6-v1	/audio/toefl/set-1/listening-m2-choose-6.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m2-choose-6	913a8dc042e25a30b820be10fcb3bb1c422323b0740d19b560d067d047b1a17a	33	33	7	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:listening-m2-choose-7	set-1	listening	listening-2	choose-response	item:t1-l-m2-cr7-v1	/audio/toefl/set-1/listening-m2-choose-7.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m2-choose-7	b5306df65e76c501b3982c50e84a52c1600e051beee48b5f671a7f201acab629	30	30	7	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:listening-m2-choose-8	set-1	listening	listening-2	choose-response	item:t1-l-m2-cr8-v1	/audio/toefl/set-1/listening-m2-choose-8.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m2-choose-8	3d7c88c1e2b6f46d85c954d19bd07010ab58b7a15c8db8a2fefcc4a23cb91b16	40	40	7	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:listening-m2-conversation	set-1	listening	listening-2	conversation	item:t1-l-m2-cv1-v1;item:t1-l-m2-cv2-v1	/audio/toefl/set-1/listening-m2-conversation.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m2-conversation	1c47b4f68645afb44230359634b701dcff11af3ef6fcb01ad8c5176db9d8a19b	489	437	78	4	STUDENT;STAFF MEMBER	student;announcer	student;staff	mp3_44100_64_mono_after_QA	yes	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:speaking-interview-1	set-1	speaking	speaking	take-an-interview	t1-s-iv1	/audio/toefl/set-1/interview-1.mp3	src/data/mocks/toefl-set-1.ts#t1-s-iv1	9748e0ffbd96a770aa93f31dd65244b0cb6046646cb1b6531663e8eb599578ae	103	103	23	1	INTERVIEWER	interviewer	interviewer	mp3_44100_64_mono_after_QA	yes	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:speaking-interview-2	set-1	speaking	speaking	take-an-interview	t1-s-iv2	/audio/toefl/set-1/interview-2.mp3	src/data/mocks/toefl-set-1.ts#t1-s-iv2	9a40a46341ab1d4ca7afe81e8cfc48d571f4bd32a8b78bc361b2d38b6bc49f43	141	141	26	1	INTERVIEWER	interviewer	interviewer	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:speaking-interview-3	set-1	speaking	speaking	take-an-interview	t1-s-iv3	/audio/toefl/set-1/interview-3.mp3	src/data/mocks/toefl-set-1.ts#t1-s-iv3	0211c5253c0d1a130436856ced1cd272ec42ae035f9fc1ea2af409ef93d0fa9e	166	166	26	1	INTERVIEWER	interviewer	interviewer	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:speaking-interview-4	set-1	speaking	speaking	take-an-interview	t1-s-iv4	/audio/toefl/set-1/interview-4.mp3	src/data/mocks/toefl-set-1.ts#t1-s-iv4	6300b35262cf0ab56ea1da51b05bcc13403ca4a968a784aa9d78730a6f1fa027	128	128	21	1	INTERVIEWER	interviewer	interviewer	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:speaking-repeat-6	set-1	speaking	speaking	listen-and-repeat	t1-s-rp6	/audio/toefl/set-1/repeat-6.mp3	src/data/toefl/speaking-fixed-repeat.ts#t1-s-rp6	38cb10ce32f45ce06cfb92dc48b6078ff243b4f3dd653e7e63ffb108d9967cf4	97	97	15	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:speaking-repeat-7	set-1	speaking	speaking	listen-and-repeat	t1-s-rp7	/audio/toefl/set-1/repeat-7.mp3	src/data/toefl/speaking-fixed-repeat.ts#t1-s-rp7	f172ccf0796b3f0103206e6c322fe9b4bdedbf502e9e5e247c352c7fa1575fc0	124	124	19	1	man	man	man	mp3_44100_64_mono_after_QA	yes	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m1-choose-6	set-2	listening	listening-1	choose-response	item:t2-l-m1-cr6-v1	/audio/toefl/set-2/listening-m1-choose-6.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m1-choose-6	c059b11e285f05cc24327c514c736825d6a92291374ee7ddd163af0562ad01b5	44	44	9	1	man	man	man	mp3_44100_64_mono_after_QA	yes	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m1-choose-7	set-2	listening	listening-1	choose-response	item:t2-l-m1-cr7-v1	/audio/toefl/set-2/listening-m1-choose-7.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m1-choose-7	2f5a72362c7a932265c6af48b3ac44961ad685d0b4f01f55a7e5a5ee48db1a65	43	43	7	1	woman	woman	woman	mp3_44100_64_mono_after_QA	yes	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m1-choose-8	set-2	listening	listening-1	choose-response	item:t2-l-m1-cr8-v1	/audio/toefl/set-2/listening-m1-choose-8.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m1-choose-8	e2735318eae8a2b89599aa0f0acd37c031fbbdc2d1a911834c5c74b116ca7263	43	43	7	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m2-academic-talk	set-2	listening	listening-2	academic-talk	item:t2-l-m2-at1-v1;item:t2-l-m2-at2-v1;item:t2-l-m2-at3-v1;item:t2-l-m2-at4-v1	/audio/toefl/set-2/listening-m2-academic-talk.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m2-academic-talk	8a3c9a3e3db10c82cc240015740ddedd7f4583ecec89a05397cdd793ed16a7ee	1323	1312	202	1	PROFESSOR	professor	professor	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m2-announcement	set-2	listening	listening-2	announcement	item:t2-l-m2-an1-v1;item:t2-l-m2-an2-v1	/audio/toefl/set-2/listening-m2-announcement.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m2-announcement	37ab80a850bb5c01f23e0cd1bc5f4272f57e53728370e1a3551250f5a7193006	391	380	62	1	ANNOUNCER	announcer	announcer	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m2-choose-1	set-2	listening	listening-2	choose-response	item:t2-l-m2-cr1-v1	/audio/toefl/set-2/listening-m2-choose-1.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m2-choose-1	5e4bd3ae906d1a1a56d188fe39d9c2450ab4cb5674bdd659e9d0f2f619859eb1	45	45	9	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m2-choose-2	set-2	listening	listening-2	choose-response	item:t2-l-m2-cr2-v1	/audio/toefl/set-2/listening-m2-choose-2.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m2-choose-2	a35cb1970d65bf58df35b6c523d069241fc7f7821936f04795e8a2f06a70d584	42	42	7	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m2-choose-3	set-2	listening	listening-2	choose-response	item:t2-l-m2-cr3-v1	/audio/toefl/set-2/listening-m2-choose-3.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m2-choose-3	a1492bac952c22d2d022b36cbe780a976e747b453127b9674a83c47b8bd84e2a	49	49	10	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m2-choose-4	set-2	listening	listening-2	choose-response	item:t2-l-m2-cr4-v1	/audio/toefl/set-2/listening-m2-choose-4.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m2-choose-4	3ba2fb8d8ed38c324d3457a859d635cf6b48f06228aa313321a14351b125718a	39	39	7	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m2-choose-5	set-2	listening	listening-2	choose-response	item:t2-l-m2-cr5-v1	/audio/toefl/set-2/listening-m2-choose-5.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m2-choose-5	b986b2250d165e130ad54efc992c078c6f4790b82be8131823563e1791fb375e	42	42	8	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m2-choose-6	set-2	listening	listening-2	choose-response	item:t2-l-m2-cr6-v1	/audio/toefl/set-2/listening-m2-choose-6.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m2-choose-6	4c5b53c50889d15ed61ba540ed9ab624ce86cd352c18d89b8d918bc47364b7b2	47	47	11	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m2-choose-7	set-2	listening	listening-2	choose-response	item:t2-l-m2-cr7-v1	/audio/toefl/set-2/listening-m2-choose-7.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m2-choose-7	7e3f7abf76fa843bf0a9027966c5e29c82281af215f19518d2b6d4b24956f846	19	19	4	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m2-choose-8	set-2	listening	listening-2	choose-response	item:t2-l-m2-cr8-v1	/audio/toefl/set-2/listening-m2-choose-8.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m2-choose-8	d4960b6f5cdbc4ae3d8eafcc9b95076ac697cabeade87c4a8990a3b15723217b	37	37	7	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:listening-m2-conversation	set-2	listening	listening-2	conversation	item:t2-l-m2-cv1-v1;item:t2-l-m2-cv2-v1	/audio/toefl/set-2/listening-m2-conversation.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-2:listening-m2-conversation	9ae829616896ef5ec6fc43afe858c0117807166712d7a1962811100b62e7f197	432	382	65	4	STUDENT;COORDINATOR	student;announcer	student;staff	mp3_44100_64_mono_after_QA	yes	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:speaking-interview-1	set-2	speaking	speaking	take-an-interview	t2-s-iv1	/audio/toefl/set-2/interview-1.mp3	src/data/mocks/toefl-set-2.ts#t2-s-iv1	b6006078552997c4320f2d6a2ce6290e4f9107894f8c9021910af7fd6fc3c599	93	93	18	1	INTERVIEWER	interviewer	interviewer	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:speaking-interview-2	set-2	speaking	speaking	take-an-interview	t2-s-iv2	/audio/toefl/set-2/interview-2.mp3	src/data/mocks/toefl-set-2.ts#t2-s-iv2	1bc5f7b7645e9c1489e738ba40952a34c39725ca8848d26c2e447fae322b006e	142	142	25	1	INTERVIEWER	interviewer	interviewer	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:speaking-interview-3	set-2	speaking	speaking	take-an-interview	t2-s-iv3	/audio/toefl/set-2/interview-3.mp3	src/data/mocks/toefl-set-2.ts#t2-s-iv3	721f39d0f56911d899f10aca88bb729f99d7e1fec2d8cdd686347bb96acd13a7	156	156	28	1	INTERVIEWER	interviewer	interviewer	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:speaking-interview-4	set-2	speaking	speaking	take-an-interview	t2-s-iv4	/audio/toefl/set-2/interview-4.mp3	src/data/mocks/toefl-set-2.ts#t2-s-iv4	bdcb44f7271a60f0f0dc43c8727e0bc9673f9ce41d96dd11b914916af75c501c	125	125	21	1	INTERVIEWER	interviewer	interviewer	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:speaking-repeat-6	set-2	speaking	speaking	listen-and-repeat	t2-s-rp6	/audio/toefl/set-2/repeat-6.mp3	src/data/toefl/speaking-fixed-repeat.ts#t2-s-rp6	cbc57c71309d82fc9dfdc7bbe92094fb6a5aa50b273a694ee1a2043b42efcc56	96	96	15	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-2:speaking-repeat-7	set-2	speaking	speaking	listen-and-repeat	t2-s-rp7	/audio/toefl/set-2/repeat-7.mp3	src/data/toefl/speaking-fixed-repeat.ts#t2-s-rp7	0cd6056f30ce0060661b21d3d35c2294301c40beb508f1513beb43d76be14f3e	127	127	20	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m1-choose-6	set-3	listening	listening-1	choose-response	item:t3-l-m1-cr6-v1	/audio/toefl/set-3/listening-m1-choose-6.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m1-choose-6	1f033ce9d43702a503408c8770e84f689ff2b6bc63fa8cdd64f04f744f27aa6c	49	49	10	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m1-choose-7	set-3	listening	listening-1	choose-response	item:t3-l-m1-cr7-v1	/audio/toefl/set-3/listening-m1-choose-7.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m1-choose-7	a3581cf88ca6fc9552b5f5c5161a49ac49001f1000170be1dca1edf49381b48a	48	48	8	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m1-choose-8	set-3	listening	listening-1	choose-response	item:t3-l-m1-cr8-v1	/audio/toefl/set-3/listening-m1-choose-8.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m1-choose-8	8974eb0627c754103a7dd0c2127159ec0005a1d7e586d83244eed0dc982bd4de	38	38	7	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m2-academic-talk	set-3	listening	listening-2	academic-talk	item:t3-l-m2-at1-v1;item:t3-l-m2-at2-v1;item:t3-l-m2-at3-v1;item:t3-l-m2-at4-v1	/audio/toefl/set-3/listening-m2-academic-talk.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m2-academic-talk	7a56ba04a57964450bfa3b4fe55eca823b3dab6ce8a20e4406dd55b53eb7c0d9	1303	1292	199	1	PROFESSOR	professor	professor	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m2-announcement	set-3	listening	listening-2	announcement	item:t3-l-m2-an1-v1;item:t3-l-m2-an2-v1	/audio/toefl/set-3/listening-m2-announcement.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m2-announcement	364d6cee4a462c5c9ca1cdb747b3e958e5677c7ffe0d457a5bc87d7efaddf1bc	411	400	63	1	ANNOUNCER	announcer	announcer	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m2-choose-1	set-3	listening	listening-2	choose-response	item:t3-l-m2-cr1-v1	/audio/toefl/set-3/listening-m2-choose-1.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m2-choose-1	67a55a3b5626b1fbedd04008b8cafa261cf4b62143f428e09dd01cf47b11c5f9	35	35	7	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m2-choose-2	set-3	listening	listening-2	choose-response	item:t3-l-m2-cr2-v1	/audio/toefl/set-3/listening-m2-choose-2.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m2-choose-2	128646bb6e65d5193d2e4da18bf3700dbeab2c8c756ccc7ec94b80f051a0b80b	43	43	8	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m2-choose-3	set-3	listening	listening-2	choose-response	item:t3-l-m2-cr3-v1	/audio/toefl/set-3/listening-m2-choose-3.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m2-choose-3	c103fb318e7597f37d87bafb1e17fab9036c2f63c700989f2873b74e3000d77b	37	37	9	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m2-choose-4	set-3	listening	listening-2	choose-response	item:t3-l-m2-cr4-v1	/audio/toefl/set-3/listening-m2-choose-4.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m2-choose-4	fade830f6d466c48b31b1e0a3e8b383f47d454c491939f245aa66037689ce141	38	38	7	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m2-choose-5	set-3	listening	listening-2	choose-response	item:t3-l-m2-cr5-v1	/audio/toefl/set-3/listening-m2-choose-5.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m2-choose-5	6607eb6b470656aef9c785aacf9649dbd4ec483d312172196d243f7e7f847f3e	45	45	7	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m2-choose-6	set-3	listening	listening-2	choose-response	item:t3-l-m2-cr6-v1	/audio/toefl/set-3/listening-m2-choose-6.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m2-choose-6	567aca416ab16a989547b4352d05d57f73d1b606fda2ccb779c74fa755db8bb2	38	38	7	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m2-choose-7	set-3	listening	listening-2	choose-response	item:t3-l-m2-cr7-v1	/audio/toefl/set-3/listening-m2-choose-7.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m2-choose-7	8287dfe9f843429ab3b7b4b60ebd2bfd02e569e61cdc852b8a036397dab1f967	48	48	8	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m2-choose-8	set-3	listening	listening-2	choose-response	item:t3-l-m2-cr8-v1	/audio/toefl/set-3/listening-m2-choose-8.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m2-choose-8	f3094c161393cac5944e7828f0626d9f500e3350f7b4dc28169b6fa17b96ee61	48	48	8	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:listening-m2-conversation	set-3	listening	listening-2	conversation	item:t3-l-m2-cv1-v1;item:t3-l-m2-cv2-v1	/audio/toefl/set-3/listening-m2-conversation.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-3:listening-m2-conversation	30a4fe8d0b720e2fdaf7bff8c4c908c707f4f47b885b485546b008dfb65a151b	491	445	74	4	STUDENT;PROFESSOR	student;professor	student;professor	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:speaking-interview-1	set-3	speaking	speaking	take-an-interview	t3-s-iv1	/audio/toefl/set-3/interview-1.mp3	src/data/mocks/toefl-set-3.ts#t3-s-iv1	30237b5ab26db21c2668de9d5b27aa69b2ce9c08a5a6fad01f2716d14cafdf28	103	103	22	1	INTERVIEWER	interviewer	interviewer	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-3:speaking-interview-2	set-3	speaking	speaking	take-an-interview	t3-s-iv2	/audio/toefl/set-3/interview-2.mp3	src/data/mocks/toefl-set-3.ts#t3-s-iv2	14d4791ba5bb760868847e83e6bf22e9d189cc97642e9a60e98ad992dd26ff13	143	143	27	1	INTERVIEWER	interviewer	interviewer	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
