transition_id	mode_scope	from_attempt	from_section	from_unit	event	guard	to_attempt	to_section	to_unit	clock_scope	clock_effect	navigation_effect	irreversible	outcome_effect	idempotency_key	failure_policy	disclosure_or_ui	owner_unit	official_rules
TMN-TR-011	exam_fixed|exam_adaptive	active	reading	reading_stage_2_ready	START_READING_STAGE_2	route selected exactly once; module payload valid	active	reading	reading_stage_2	reading_stage_2	create authoritative deadline	focus first stage 2 item; stage 1 stays inaccessible	yes	first stage 2 unit becomes presented as rendered	attempt_id:reading_stage_2:START	fail closed before rendering invalid module	announce module 2 and irreversible boundary	T10|T12|T13	ADP-003|ADP-004
TMN-TR-012	exam_fixed|exam_adaptive	active	reading	reading_stage_2	SUBMIT_READING_STAGE_2	explicit confirmation if presented units remain unanswered	directions	listening	directions	reading_stage_2	stop and seal deadline	disable Reading; enable only Listening directions	yes	close Reading outcomes	attempt_id:reading_stage_2:CLOSE	return validation error without partial section close	announce Reading closed	T10|T12|T13	GEN-001|ADP-003
TMN-TR-013	exam_fixed|exam_adaptive	active	reading	reading_stage_2	EXPIRE_READING_STAGE_2	authoritative deadline reached	directions	listening	directions	reading_stage_2	expire and seal once	disable Reading; enable only Listening directions	yes	close Reading outcomes; preserve not_presented	attempt_id:reading_stage_2:EXPIRE	idempotent retry uses prior close	announce expiry and next section	T10|T11	GEN-001|ADP-003
TMN-TR-014	exam_fixed|exam_adaptive	directions	listening	directions	START_LISTENING_STAGE_1	Listening payload; per-question timing model; playback state valid	active	listening	listening_stage_1_item_1	listening_stage_1|question	start configured module and first-question timing	Next only; no Back	yes	first Listening unit becomes presented	attempt_id:listening_stage_1:START	remain in directions if timing is unverified	announce forward-only and one-play rule	T10|T14|T15	GEN-003|ADP-001|ADP-005|L-008|L-009
TMN-TR-015	exam_fixed|exam_adaptive	active	listening	listening_stage_1|listening_stage_2	LISTENING_NEXT	current item presented; submit accepted or empty advance confirmed	active	listening	next_item_or_module_close	question	stop and seal current question; start next when presented	forward one item; Back remains impossible	yes	close current item as responded or unanswered	attempt_id:item_id:CLOSE	stale retry returns already-closed outcome	announce saved/closed and new position	T14|T15	ADP-005|L-009
TMN-TR-016	exam_fixed|exam_adaptive	active	listening	listening_stage_1|listening_stage_2	EXPIRE_LISTENING_ITEM	authoritative per-question deadline reached	active	listening	next_item_or_module_close	question	expire current; start next when presented	advance only; do not reopen current	yes	close current item under T09	attempt_id:item_id:EXPIRE	idempotent retry; technical failures stay separate	announce time expired without scoring language	T10|T11|T14|T15	ADP-005|L-009
TMN-TR-017	exam_fixed|exam_adaptive	active	listening	listening_stage_1	CLOSE_LISTENING_STAGE_1	final stage 1 item closed	active	listening	routing_pending	listening_stage_1	stop and seal module clock	disable all stage 1 items	yes	seal stage 1 outcomes	attempt_id:listening_stage_1:CLOSE	do not route from unsealed snapshot	announce module transition	T10|T14|T15	ADP-002|ADP-003|ADP-005
TMN-TR-018	exam_fixed	active	listening	routing_pending	SELECT_FIXED_LISTENING_ROUTE	predetermined route belongs to composition	active	listening	listening_stage_2_ready	none	no clock until activation	stage 1 remains sealed	yes	record fixed route_id	attempt_id:listening:ROUTE	route failure blocks stage 2	label fixed and non-adaptive	T10|T11	ADP-003
TMN-TR-019	exam_adaptive	active	listening	routing_pending	SELECT_ADAPTIVE_LISTENING_ROUTE	sealed stage 1 snapshot; T24 policy version; no prior decision	active	listening	listening_stage_2_ready	none	no clock until activation	stage 1 remains sealed	yes	record decision_id; route_id; snapshot hash	attempt_id:listening:ROUTE	route_state failed; never choose a default	label adaptive WeLearn	T24|T25	ADP-001|ADP-002|ADP-003
TMN-TR-020	exam_fixed|exam_adaptive	active	listening	listening_stage_2_ready	START_LISTENING_STAGE_2	route selected; route-specific timing and payload valid	active	listening	listening_stage_2_item_1	listening_stage_2_lower|listening_stage_2_upper|question	start route budget and first-question timing	Next only; stage 1 inaccessible	yes	first stage 2 unit becomes presented	attempt_id:listening_stage_2:START	fail closed when route timing is absent	announce module 2 and forward-only	T10|T14|T15	ADP-003|ADP-005|L-009
TMN-TR-021	exam_fixed|exam_adaptive	active	listening	listening_stage_2	CLOSE_LISTENING_STAGE_2	final stage 2 item closed	directions	writing	directions	listening_stage_2_lower|listening_stage_2_upper	stop and seal module clock	disable Listening; enable only Writing directions	yes	close Listening outcomes	attempt_id:listening_stage_2:CLOSE	idempotent close; reject stale writes	announce Listening closed	T10|T14|T15	GEN-001|ADP-003|ADP-005
TMN-TR-022	exam_fixed|exam_adaptive	directions	writing	directions	START_WRITING_BUILD	writing clocks reconcile to 1380 seconds; Build timing adjudicated	active	writing	writing_build_block	writing_section|writing_build_block	start section and Build deadline	linear Writing sequence	yes	first Build unit becomes presented	attempt_id:writing:START	block C/D while Build timing is unverified	announce task and time	T10|T16|T17	GEN-004|W-001
TMN-TR-023	exam_fixed|exam_adaptive	active	writing	writing_build_block	SUBMIT_OR_EXPIRE_WRITING_BUILD	ten Build units closed; deadline or explicit submit	active	writing	writing_email	writing_build_block|writing_email	seal Build; start 420-second Email deadline	no return to Build under local conservative rule	yes	close Build outcomes; present Email	attempt_id:writing_build:CLOSE	idempotent close; late Build writes rejected	announce Email and 7 minutes	T16|T17	W-001|W-002
TMN-TR-024	exam_fixed|exam_adaptive	active	writing	writing_email	SUBMIT_WRITING_EMAIL	response version accepted before deadline	active	writing	writing_discussion	writing_email|writing_discussion	seal Email; start 600-second Discussion deadline	no return to Email under local conservative rule	yes	Email becomes pending_evaluation or not_evaluated per T09; present Discussion	attempt_id:writing_email:CLOSE	late write rejected; prior close returned	announce Discussion and 10 minutes	T17	W-002|W-003
TMN-TR-025	exam_fixed|exam_adaptive	active	writing	writing_email	EXPIRE_WRITING_EMAIL	authoritative 420-second deadline reached	active	writing	writing_discussion	writing_email|writing_discussion	expire Email; start 600-second Discussion deadline	advance only	yes	seal latest accepted Email or unanswered	attempt_id:writing_email:EXPIRE	idempotent expiry	announce Email expiry and Discussion	T10|T11|T17	W-002|W-003
TMN-TR-026	exam_fixed|exam_adaptive	active	writing	writing_discussion	SUBMIT_OR_EXPIRE_WRITING_DISCUSSION	response accepted or 600-second deadline reached	directions	speaking	directions	writing_discussion|writing_section	seal Discussion and Writing section	disable Writing; enable only Speaking directions	yes	close Writing outcomes	attempt_id:writing_discussion:CLOSE	idempotent close; late write rejected	announce Writing closed and Speaking preflight	T10|T11|T17	GEN-001|GEN-004|W-003
TMN-TR-027	exam_fixed|exam_adaptive	directions	speaking	directions	START_SPEAKING	microphone/capture preflight valid; response timing model verified	active	speaking	repeat_prompt_1	speaking_section	start section accounting; no preparation clock	linear prompts; no prep state	yes	first Repeat unit becomes presented	attempt_id:speaking:START	block C/D if capture or seconds are unverified	announce no preparation and response behavior	T18|T19	GEN-005|S-003|S-004
TMN-TR-028	exam_fixed|exam_adaptive	active	speaking	repeat_prompt	PLAY_REPEAT_PROMPT_ONCE	playback not previously consumed for item	active	speaking	repeat_response	speaking_response	after prompt ends start configured response deadline	disable replay; focus capture	yes	record durable playback consumption; no score yet	attempt_id:item_id:PLAY	technical failure policy; never reset on remount	announce recording start and remaining response time	T18	S-003|S-004
TMN-TR-029	exam_fixed|exam_adaptive	active	speaking	repeat_response	SUBMIT_OR_EXPIRE_REPEAT_RESPONSE	capture accepted or authoritative response deadline reached	active	speaking	next_repeat_or_interview_prompt	speaking_response	seal response; start next only after prompt	forward only	yes	captured response pending evaluation; empty or technical outcome typed	attempt_id:item_id:CLOSE	idempotent close; late media rejected	announce response closed and next prompt	T10|T11|T18	S-001|S-003|S-004
TMN-TR-030	exam_fixed|exam_adaptive	active	speaking	interview_prompt	PRESENT_INTERVIEW_PROMPT	no preparation state; prompt not previously consumed	active	speaking	interview_response	speaking_response	start configured response deadline at approved event	forward only; no prep textarea	yes	Interview item becomes presented	attempt_id:item_id:PRESENT	technical failure stays separate	announce recording and time	T19	S-002|S-003
TMN-TR-031	exam_fixed|exam_adaptive	active	speaking	interview_response	SUBMIT_OR_EXPIRE_INTERVIEW_RESPONSE	capture accepted or authoritative response deadline reached	active|submitting	speaking	next_interview_prompt|section_closed	speaking_response|speaking_section	seal response; after fourth seal section	forward only	yes	captured response pending evaluation; empty or technical outcome typed	attempt_id:item_id:CLOSE	idempotent close; late media rejected	announce response closed or section complete	T10|T11|T19	S-002|S-003
TMN-TR-032	exam_fixed|exam_adaptive|practice	submitting	speaking|configured	section_closed|practice_closed	FINALIZE_ATTEMPT	all composition units have exactly one T09 outcome; transitions reconcile	closed	none	closed	none	all clocks stopped	review only	yes	persist complete or explicitly incomplete outcome set	attempt_id:FINALIZE	remain submitting or invalidate; never publish partial score silently	show fidelity; route; incompleteness; technical disclosures	T11	SCORE-001|SCORE-006
TMN-TR-033	exam_fixed|exam_adaptive	active|directions	*	*	RELOAD_OR_RECONNECT	attempt identity; writer lease; transition sequence recoverable	same	canonical	canonical	current	derive remaining time from durable deadline	restore only allowed controls; closed boundaries stay closed	no	no outcome changes from reload alone	attempt_id:RECOVER:transition_seq	block writes if reconciliation is ambiguous	announce restored location and time	T10|T11	GEN-006|ADP-003|ADP-005
TMN-TR-034	practice	active	*	*	PRACTICE_SWITCH_SKILL	target skill exists; local navigation policy allows	active	target_skill	configured	practice_global_current|local	continue or follow disclosed practice pause policy	free or fixed exactly as disclosed	no	presentation/progress follow T09; no automatic correctness	attempt_id:transition_seq	reject behavior not described in disclosure	show DS-B-002 for free navigation	T10	GEN-001
TMN-TR-035	practice	active	*	*	EXPIRE_PRACTICE_GLOBAL	local 5160-second deadline reached	submitting	configured	practice_closed	practice_global_current	expire once	disable answers; move to finalization	yes	type unanswered and not_presented separately	attempt_id:practice:EXPIRE	idempotent expiry	state that this was a local global clock	T10|T11	GEN-006
TMN-TR-036	learn	active	*	*	LEARN_NAVIGATE_OR_RETRY	learning policy allows target/help/retry	active	target	target	local	pause or continue only as declared	flexible learning navigation	no	attempt history may record tries; final outcome remains typed	attempt_id:transition_seq	do not relabel as exam behavior	label hints; retries; flexible time	T12|T19	none_local
TMN-TR-037	review	closed	none	closed	OPEN_REVIEW	closed snapshot exists; disclosure and access policy permit	closed	selected	read_only	none	no clock	free read-only navigation; no answer mutation	no	consume frozen T09 outcomes only	attempt_id:OPEN_REVIEW	deny mutation and respect retention policy	show original mode; route; versions; disclosures	T11	SCORE-001|SCORE-006
TMN-TR-038	exam_fixed|exam_adaptive	active	*	*	TECHNICAL_HOLD_START	system-controlled incident; audited policy; actor and reason present	active	same	same	affected	suspend only affected authoritative deadline	lock affected interaction; preserve focus	no	no academic outcome until adjudicated	attempt_id:incident_id:START	without approved policy use technical_failure; not silent pause	announce incident and what is paused	T10|T11	none_local
TMN-TR-039	exam_fixed|exam_adaptive	active	*	*	TECHNICAL_HOLD_END	matching open incident; recovery verified	active	same	same	affected	resume with auditable adjusted deadline	restore only previously allowed controls	no	no outcome changes from resume alone	attempt_id:incident_id:END	keep blocked if recovery cannot reconcile	announce resumed clock and remaining time	T10|T11	none_local
TMN-TR-040	exam_fixed|exam_adaptive|practice|learn	active|directions	*	*	WRITER_LEASE_CONFLICT	another tab/session owns current writer lease	same	same	same	current	authoritative clock follows mode; no duplicate timer authority	make this client read-only or blocked	no	no response accepted from conflicting writer	attempt_id:lease_version	require explicit takeover policy in T11	accessible conflict message; avoid duplicate attempts	T11	none_local
TMN-TR-041	exam_fixed|exam_adaptive	active|directions	*	*	DISALLOWED_BACK_OR_ROUTE	target crosses closed item; module; or section boundary	same	canonical	canonical	current	continue current deadline	restore canonical location; no navigation	no	no outcome mutation	attempt_id:transition_seq	log repeated impossible transitions for diagnostics	explain boundary without revealing score	T10|T11	ADP-003|ADP-005
TMN-TR-042	exam_fixed|exam_adaptive	active	*	*	LATE_RESPONSE	authoritative deadline or closed boundary precedes response	same	same	same	current	no clock change	remain at canonical location	no	reject mutation; record late event separately	attempt_id:item_id:response_version	never overwrite sealed response	announce that the response arrived after closure	T10|T11	none_local
TMN-TR-043	exam_fixed|exam_adaptive|practice|learn	created|directions|active|submitting	*	*	ABANDON_ATTEMPT	explicit abandonment or unrecoverable exit per T11 policy	abandoned	same	closed	all	stop or let deadlines resolve exactly as declared; then seal	disable writes; review depends on policy	yes	materialize not_presented; unanswered; technical states under T09	attempt_id:ABANDON	idempotent; never reuse attempt_id	show incomplete-attempt disclosure	T10|T11	GEN-006
TMN-TR-044	exam_fixed|exam_adaptive|practice|learn	created|directions|active|submitting	*	*	INVALIDATE_ATTEMPT	configuration; content; route; or reconciliation cannot support interpretation	invalidated	same	closed	all	stop clocks with audit record	disable writes and evaluative result	yes	invalidated or technical outcomes with reasons	attempt_id:INVALIDATE:reason	preserve evidence; permit only a new attempt	state technical invalidation; no score claim	T10|T11	none_local
