block_id	set_id	topic	source_word_count	sentences_reviewed	factual_status	severity	confidence	language_status	primary_issue	repair_directive	official_source_ids	official_source_urls	external_similarity_query	external_similarity_status	provenance_commit	rights_status	representation_status	reuse_decision	release_status
t11-r-cw2	set-11	deserts	81	5	needs_definition_repair	high	high	language_pass_initial	desertification_is_not_simply_fertile_land_turning_into_desert_and_has_climatic_and_human_drivers	use_unccd_definition_land_degradation_in_drylands_and_keep_250mm_as_typical_not_universal	USGS-DESERTS|UNCCD-ARTICLE-1	https://pubs.usgs.gov/gip/7000004/report.pdf|https://www.unccd.int/article-1-use-terms	Deserts_are_not_always_hot_some_like_those_near_the_poles_are_extremely_cold	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_environmental_definition	B_definition_repair_then_C_derive	blocked
t12-r-cw2	set-12	moon	75	5	needs_atmosphere_precision	high	high	language_pass_initial	moon_has_an_extremely_thin_exosphere_so_no_atmosphere_is_false_as_written	replace_no_atmosphere_with_extremely_thin_exosphere_and_keep_liquid_water_distinction	NASA-MOON-FACTS|NASA-LUNAR-ATMOSPHERE	https://science.nasa.gov/moon/facts/|https://science.nasa.gov/moon/lunar-atmosphere/	Scientists_believe_the_Moon_formed_billions_of_years_ago_when_a_huge_object_struck_the_young_Earth	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_general_science	B_atmosphere_precision_then_C_derive	blocked
t13-r-cw2	set-13	rainforests	75	4	needs_estimate_scope_and_similarity_repair	high	high	language_pass_initial	more_than_half_of_all_species_is_uncertain_and_stock_wording_has_close_external_precedent	limit_to_tropical_forests_and_use_estimated_about_half_then_rewrite_sentence_independently	NASA-TROPICAL-DEFORESTATION	https://science.nasa.gov/earth/earth-observatory/tropical-deforestation/	Rainforests_also_play_a_key_role_in_the_water_cycle_releasing_huge_amounts_of_water_vapor	near_stock_phrase_overlap_biodiversity_and_water_cycle	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_stock_overlap_owner_attestation_rewrite_and_independent_review	low_cultural_load_scope_tropical_forests	B_scope_and_similarity_rewrite_then_C_derive	blocked
t14-r-cw2	set-14	volcano_formed_islands	71	5	fact_pass_general_scope	low	high	language_pass_initial	water_apostrophe_target_needs_token_adjudication_but_factual_succession_is_supported	retain_source_text_and_adjudicate_water_apostrophe_without_inventing_ets_rule	USGS-HAWAII-ECOLOGY|USGS-HAWAII-BIRDS	https://www.usgs.gov/geology-and-ecology-of-national-parks/ecology-hawaii-volcanoes-national-park|https://www.usgs.gov/news/volcano-watch-forest-birds-hawaiian-islands	At_first_these_islands_are_bare_rock_but_over_time_seeds_carried_by_wind_waves_and_birds	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_island_ecology	C_token_adjudication_and_rights_then_derive	blocked
t15-r-cw2	set-15	electric_cars	72	5	needs_tailpipe_lifecycle_scope	high	high	language_pass_initial	no_exhaust_fumes_applies_to_battery_evs_and_does_not_mean_zero_lifecycle_pollution	specify_battery_evs_zero_tailpipe_emissions_and_note_generation_and_manufacturing_impacts	EPA-EV|EPA-EV-MYTHS	https://www.epa.gov/greenvehicles/electric-plug-hybrid-electric-vehicles|https://www.epa.gov/greenvehicles/electric-vehicle-myths	Instead_of_petrol_they_run_on_electricity_stored_in_large_batteries	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_infrastructure_access_generalization	B_lifecycle_precision_then_C_derive	blocked
t16-r-cw2	set-16	glaciers	67	5	fact_pass_but_similarity_rewrite_required	high	high	language_pass_initial	few_centimeters_sentence_matches_preexisting_national_geographic_wording_and_text_is_short	preserve_facts_but_rewrite_speed_sentence_independently_extend_to_range_and_state_sea_level_contribution	NSIDC-GLACIER-SCIENCE|NSIDC-GLACIER-IMPORTANCE	https://nsidc.org/learn/parts-cryosphere/glaciers/science-glaciers|https://nsidc.org/learn/parts-cryosphere/glaciers/why-glaciers-matter	They_move_very_slowly_often_only_a_few_centimeters_a_day	exact_sentence_match_preexisting_NationalGeographic	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_exact_match_owner_attestation_rewrite_and_independent_review	low_cultural_load_general_science	B_extend_and_similarity_rewrite_then_C_derive	blocked
t17-r-cw2	set-17	spiders	77	5	needs_behavior_and_material_property_precision	high	high	language_pass_initial	not_all_or_most_spiders_build_capture_webs_and_stronger_than_steel_needs_named_property	state_all_spiders_make_silk_but_not_all_build_capture_webs_and_compare_toughness_strength_or_strength_to_weight_explicitly	NPS-SPIDERS|PMC-SPIDER-SILK	https://www.nps.gov/moja/learn/nature/insects.htm|https://pmc.ncbi.nlm.nih.gov/articles/PMC2658765/	The_silk_is_remarkably_strong_some_kinds_are_stronger_than_steel_of_the_same_thickness	stock_comparison_phrase_high_prevalence_no_exact_full_sentence_match	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_stock_overlap_owner_attestation_rewrite_and_independent_review	low_cultural_load_fear_claim_balanced	B_behavior_and_property_repair_then_C_derive	blocked
t18-r-cw2	set-18	water_cycle	84	6	needs_freshwater_absolute_repair	medium	high	language_pass_initial	all_living_things_need_fresh_water_is_false_for_marine_life	replace_with_cycle_redistributes_water_and_replenishes_many_freshwater_supplies	USGS-WATER-CYCLE|USGS-WATER-GLOSSARY	https://www.usgs.gov/faqs/what-earths-water-cycle|https://www.usgs.gov/glossary/glossary-water-cycle-terms	Some_of_this_water_soaks_into_the_ground_while_some_flows_into_rivers	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_general_science	B_absolute_repair_then_C_derive	blocked
t19-r-cw2	set-19	human_eye	73	4	fact_pass_general_scope	low	high	language_pass_initial	brain_creates_images_is_simplified_but_acceptable_for_general_science_and_refractive_error_claim_is_supported	retain_text_and_avoid_implying_all_glasses_users_share_one_anatomical_cause	NEI-HOW-EYES-WORK|NEI-EYEGLASSES	https://www.nei.nih.gov/eye-health-information/healthy-vision/how-eyes-work|https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/refractive-errors/eyeglasses-refractive-errors	special_cells_turn_the_light_into_signals_that_travel_along_the_optic_nerve	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_disability_neutral_language	C_derive_after_rights_review	blocked
t20-r-cw2	set-20	renewable_energy	67	4	needs_lifecycle_and_trend_scope	high	high	language_pass_initial	will_not_run_out_and_little_or_no_pollution_hide_replenishment_lifecycle_and_ecological_impacts	use_naturally_replenished_compare_lifecycle_emissions_and_bound_cost_trend_to_documented_period	DOE-RENEWABLE|DOE-WIND-LIFECYCLE|IRENA-COSTS-2024	https://www.energy.gov/edf/renewable-energy|https://www.energy.gov/cmei/systems/articles/how-wind-can-help-us-breathe-easier|https://www.irena.org/Publications/2025/Jun/Renewable-Power-Generation-Costs-in-2024	As_technology_improves_and_costs_fall_more_countries_are_choosing_to_invest_in_renewable_energy	near_stock_phrase_overlap_educational_energy_material	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_stock_overlap_owner_attestation_rewrite_and_independent_review	low_cultural_load_global_investment_claim_needs_time_scope	B_lifecycle_trend_similarity_and_length_repair_then_C_derive	blocked
