assetId	family	formatLabel	title	sourcePath	sourceLocator	declaredId	stableIdStatus	routePaths	runtimeExposure	module	inferredModule	moduleStatus	moduleInferenceBasis	contentForm	passageWordCount	questionGroupCount	decisionCount	rightsBasisPresent	authorPresent	reviewerPresent	factualSourcesPresent	surfaceClaim	provisionalRightsBasis	rightsAssessmentStatus	recommendedDisposition	runtimeQuarantineContradiction	quarantineReasonCodes	sourceFileSha256	sourceObjectSha256	passageSha256
formative:matching-headings:mh-public-libraries	formative-route-bank	matching-headings	The changing role of public libraries	src/data/practica-exams/seo-catalog.ts	IELTS_MATCHING_HEADINGS_PASSAGES[0]	mh-public-libraries	declared	/practica/ielts/reading/tipos-de-preguntas/matching-headings	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	paragraph-array	279	1	5	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	9e99d0518d90a6a64fc622a49cc293a2966aa17ac59142685b0e8bdb266eb918	154235714df6aadc8ab55e581f91a23d68c656e0562bca3f21a7cef60c584599
formative:matching-headings:mh-urban-farming	formative-route-bank	matching-headings	Urban farming beyond fresh food	src/data/practica-exams/seo-catalog.ts	IELTS_MATCHING_HEADINGS_PASSAGES[1]	mh-urban-farming	declared	/practica/ielts/reading/tipos-de-preguntas/matching-headings	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	paragraph-array	278	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	d8505ea0480be939eade2759c1b8536201346219f6817e092f2c7712845564eb	8fba6af7425a0977dc77da138499a5116177082d96fbe62e3d24036d3d5de542
formative:matching-information:mi-city-noise	formative-route-bank	matching-information	How cities respond to noise	src/data/practica-exams/seo-catalog.ts	IELTS_MATCHING_INFORMATION_PASSAGES[0]	mi-city-noise	declared	/practica/ielts/reading/tipos-de-preguntas/matching-information	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	paragraph-array	249	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	4dedd37f4422d13c2d7f2e8ed948820849d92987cc5bdce84350ecee344ded62	0a8c8248e48bf5fb8c6c3ecef5dc501fe7ae279ded3671557b41f37be2938292
formative:matching-information:mi-coastal-restoration	formative-route-bank	matching-information	Restoring coastal wetlands	src/data/practica-exams/seo-catalog.ts	IELTS_MATCHING_INFORMATION_PASSAGES[2]	mi-coastal-restoration	declared	/practica/ielts/reading/tipos-de-preguntas/matching-information	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	paragraph-array	234	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	c2e06a4c723bfd321924f9e2961937b494280c8edd55ab9658e3775284b467d7	451bf6e4e43ced3aeb8e4f4a86c570a0f343b620df4cc9269097bc709cc9287c
formative:matching-information:mi-museum-lighting	formative-route-bank	matching-information	Lighting in modern museums	src/data/practica-exams/seo-catalog.ts	IELTS_MATCHING_INFORMATION_PASSAGES[1]	mi-museum-lighting	declared	/practica/ielts/reading/tipos-de-preguntas/matching-information	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	paragraph-array	236	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	f68ddab75ce213fcf42bb1b0f815138e25fad5218bedd135f74758d970b51280	a0fa743bf531cd9e031150861c119b04b0cdbc6ce212ab89a14c7002ac51daca
formative:matching-sentence-endings:mse-coastal-libraries	formative-route-bank	matching-sentence-endings	Matching Sentence Endings practice: coastal libraries	src/data/practica-exams/seo-catalog.ts	IELTS_MATCHING_SENTENCE_ENDINGS_PASSAGES[2]	mse-coastal-libraries	declared	/practica/ielts/reading/tipos-de-preguntas/matching-sentence-endings	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	242	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	87e771a35de1ad2b132f30a3c61abaf60471fdd0636034d977376d6aed05ebad	9f24fb48812dcd3ae63a657867194010b5a4590ded28ad89e58c41f27ff803ee
formative:matching-sentence-endings:mse-food-waste	formative-route-bank	matching-sentence-endings	Matching Sentence Endings practice: reducing food waste	src/data/practica-exams/seo-catalog.ts	IELTS_MATCHING_SENTENCE_ENDINGS_PASSAGES[1]	mse-food-waste	declared	/practica/ielts/reading/tipos-de-preguntas/matching-sentence-endings	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	263	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	1682b3ff5b6fac272eb80a77d5cecda5307d98d24a690c912f19a42afcc92aa4	857358942b12a30cf0e767aaf82fed497823dc8b6e70ea5ae798a68d6111d938
formative:matching-sentence-endings:mse-microclimates	formative-route-bank	matching-sentence-endings	Matching Sentence Endings practice: urban microclimates	src/data/practica-exams/seo-catalog.ts	IELTS_MATCHING_SENTENCE_ENDINGS_PASSAGES[0]	mse-microclimates	declared	/practica/ielts/reading/tipos-de-preguntas/matching-sentence-endings	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	274	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	932ccefb0130c9fb9fa030f3eee1e21948efcb4da58ed537fde24049fae21f05	1bde29047cb9e967c5bbd2113365f2fd45d5c2a0aa94878a5c6bd40ea6ea1e8e
formative:multiple-choice:mc-digital-notes	formative-route-bank	multiple-choice	Digital notes and memory	src/data/practica-exams/seo-catalog.ts	IELTS_MULTIPLE_CHOICE_PASSAGES[2]	mc-digital-notes	declared	/practica/ielts/reading/tipos-de-preguntas/multiple-choice	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	246	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	b3510e65794dae07e473b89839115fe272244cee0a7ab7deae3291375f0bda20	7f0a8cff97dbee095a78e83e1ae8fbdcb6b671e87b57cd9f52646a437496742d
formative:multiple-choice:mc-river-restoration	formative-route-bank	multiple-choice	River restoration in industrial towns	src/data/practica-exams/seo-catalog.ts	IELTS_MULTIPLE_CHOICE_PASSAGES[1]	mc-river-restoration	declared	/practica/ielts/reading/tipos-de-preguntas/multiple-choice	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	251	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	f44a635695ddbd5da41b0867acb404cd557247e33c14679e462541b86f1b5469	3e16760822406856be93e5f821bc0409f91bf05007bb57908b6294b2b382d35e
formative:multiple-choice:mc-sleep-learning	formative-route-bank	multiple-choice	Sleep and learning	src/data/practica-exams/seo-catalog.ts	IELTS_MULTIPLE_CHOICE_PASSAGES[0]	mc-sleep-learning	declared	/practica/ielts/reading/tipos-de-preguntas/multiple-choice	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	233	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	8070aae114aa34083b349fa810d547af6cf58d176df75f77e217681a83f4e91f	a7762787b2602930b5df81974ca2c5c658c3877c9a9843c0e25a4a90e11bc13c
formative:note-completion:note-mobile-libraries	formative-route-bank	note-completion	Mobile libraries and community reading	src/data/practica-exams/seo-catalog.ts	IELTS_NOTE_COMPLETION_PASSAGES[0]	note-mobile-libraries	declared	/practica/ielts/reading/tipos-de-preguntas/note-completion	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	232	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	8d64253dbba9480da1cb9de4082bbf4c7bbee221fc17f748e9f9ddaeadb8ea3f	c22dfef22bc06bd72409d3952715faee8ade98a21f9a019384b0a3c46b6fb343
formative:note-completion:note-night-libraries	formative-route-bank	note-completion	Night study spaces in public libraries	src/data/practica-exams/seo-catalog.ts	IELTS_NOTE_COMPLETION_PASSAGES[2]	note-night-libraries	declared	/practica/ielts/reading/tipos-de-preguntas/note-completion	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	235	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	e77d5edaaaefd183affe68194bf95ad7cd6696cdbecc1148b7281c46c8f46ccd	c7d601de88b071a6061fa7b20ebb292656934f2e1808f0a9d69809a1f16df218
formative:note-completion:note-seed-banks	formative-route-bank	note-completion	Community seed banks	src/data/practica-exams/seo-catalog.ts	IELTS_NOTE_COMPLETION_PASSAGES[1]	note-seed-banks	declared	/practica/ielts/reading/tipos-de-preguntas/note-completion	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	239	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	f67761984beb116c7f80dbc9f8807b976a79dda2a2890fdc9b926c8815c438ff	e754e89bcb82bc8f9655028851c8696014be32fcbcd8007f6faf2b245ee38709
formative:sentence-completion:sentence-library-makerspaces	formative-route-bank	sentence-completion	Library makerspaces and practical learning	src/data/practica-exams/seo-catalog.ts	IELTS_SENTENCE_COMPLETION_PASSAGES[1]	sentence-library-makerspaces	declared	/practica/ielts/reading/tipos-de-preguntas/sentence-completion	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	203	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	8f2b278d1b180a17a78f9aa3057364ebf3a8e401ff6b3b529ac109f8936da6bc	e13b68261fc5b2e3c3488ffbb2f920710954d7959d744d0deb24b572edd7b5db
formative:sentence-completion:sentence-night-markets	formative-route-bank	sentence-completion	Night markets and local economies	src/data/practica-exams/seo-catalog.ts	IELTS_SENTENCE_COMPLETION_PASSAGES[2]	sentence-night-markets	declared	/practica/ielts/reading/tipos-de-preguntas/sentence-completion	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	196	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	b0434ae0c3ed919b06a0c256586f1753d299b260bbe5aa34c2813ed788622ff3	612893d0f0aabbd88a9b75699523b67530744c3402dfe051e0f4197d7657ff1c
formative:sentence-completion:sentence-wetland-parks	formative-route-bank	sentence-completion	Wetland parks and urban flood control	src/data/practica-exams/seo-catalog.ts	IELTS_SENTENCE_COMPLETION_PASSAGES[0]	sentence-wetland-parks	declared	/practica/ielts/reading/tipos-de-preguntas/sentence-completion	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	198	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	42f7976e179acf1b8afec86285530ad9b5a5a26aba13ca89c7ad82c86bbf22db	f1f74d465074ba9570c9c4cbb381538a4b0f38c16251930c4d90f2126d14e1a8
formative:short-answer:short-answer-community-compost	formative-route-bank	short-answer	Community compost stations	src/data/practica-exams/seo-catalog.ts	IELTS_SHORT_ANSWER_PASSAGES[2]	short-answer-community-compost	declared	/practica/ielts/reading/tipos-de-preguntas/short-answer	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	218	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	bab9a16f3b59d29d68f85b61e1f016e904f4872ed016237f5259234e403cd5ec	2b0328974e194c00bfa57918282357e56e9dc7e4b1789911f60e4d81d2fd9ff7
formative:short-answer:short-answer-floating-classrooms	formative-route-bank	short-answer	Floating classrooms in flood-prone regions	src/data/practica-exams/seo-catalog.ts	IELTS_SHORT_ANSWER_PASSAGES[1]	short-answer-floating-classrooms	declared	/practica/ielts/reading/tipos-de-preguntas/short-answer	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	216	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	859ac699bde1516f93a5f04c0177553dbbd4875ac9949ab0fd818fdb260e2a1c	e634af7420c336c5f0c936efdd6c33d103dec127dda8a4c548baac4e38d4bcac
formative:short-answer:short-answer-night-markets	formative-route-bank	short-answer	Night markets and local economies	src/data/practica-exams/seo-catalog.ts	IELTS_SHORT_ANSWER_PASSAGES[0]	short-answer-night-markets	declared	/practica/ielts/reading/tipos-de-preguntas/short-answer	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	263	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	e60711bd9df19e4840934d7178ec115e5ce434206fa527472683bb0637ec324a	e790d28ed5e9d089f9dd4b11c2699eb5073b23a1728b96cf0084f7c49eb28fb7
formative:summary-completion:summary-repair-cafes	formative-route-bank	summary-completion	Community repair cafes	src/data/practica-exams/seo-catalog.ts	IELTS_SUMMARY_COMPLETION_PASSAGES[1]	summary-repair-cafes	declared	/practica/ielts/reading/tipos-de-preguntas/summary-completion	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	253	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	1d4de4d085159c2cb86336bc9f7277d39f26e1ab4d5ff3a4eac0c4a5ff03f2c4	d335aea3d71ba26b7fa484f697a5b73b9bc4745937ca0d8dd60c18582f88e4ca
formative:summary-completion:summary-shade-mapping	formative-route-bank	summary-completion	Mapping shade in hot cities	src/data/practica-exams/seo-catalog.ts	IELTS_SUMMARY_COMPLETION_PASSAGES[2]	summary-shade-mapping	declared	/practica/ielts/reading/tipos-de-preguntas/summary-completion	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	242	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	1321f00ec9e13f803a18a8582c40aad5398dd1ea73dd04eb552d6a1eec5e0230	663aa18c9170a448f562bcfe4d3b10d70494198020800995dd978dfc07a97307
formative:summary-completion:summary-urban-farms	formative-route-bank	summary-completion	Rooftop farms in modern cities	src/data/practica-exams/seo-catalog.ts	IELTS_SUMMARY_COMPLETION_PASSAGES[0]	summary-urban-farms	declared	/practica/ielts/reading/tipos-de-preguntas/summary-completion	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	228	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	f10464976342bfef4607a46ba77d611310ffd7cabeae7c9949bd78a100d93640	71854aeab48ed3c297f05b2c6c5f3ce081c4febe7e8799d61ece40364f84e80e
